cours,high,indice,low,open,time,var
9.118 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,2022-10-26 16:32:44.315266,+0.26%
133.400 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,2022-10-26 16:32:44.319277,+0.68%
106.040 ,106.160 ,AIRBUS,104.300 ,104.360 ,2022-10-26 16:32:44.323269,+1.90%
20.050 ,20.110 ,ALSTOM,19.230 ,19.240 ,2022-10-26 16:32:44.327274,+4.16%
48.400 ,48.565 ,DANONE,47.685 ,48.455 ,2022-10-26 16:32:44.331268,-0.38%
47.430 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,2022-10-26 16:32:44.334267,+0.20%
15.340 ,15.595 ,CARREFOUR,15.175 ,15.535 ,2022-10-26 16:32:44.337270,-1.29%
173.200 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 16:32:44.340267,+0.12%
1 359.000 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,2022-10-26 16:32:44.363268,+0.33%
24.880 ,25.035 ,AXA,24.755 ,24.910 ,2022-10-26 16:32:44.366269,-0.36%
92.030 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 16:32:44.369277,+2.04%
34.830 ,35.795 ,DASSAULT SYSTEMES,34.235 ,35.340 ,2022-10-26 16:32:44.372271,-5.03%
31.780 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 16:32:44.376271,-0.19%
112.680 ,112.860 ,SAFRAN,110.100 ,110.200 ,2022-10-26 16:32:44.379267,+2.12%
83.400 ,83.430 ,SANOFI,82.330 ,82.700 ,2022-10-26 16:32:44.381271,+1.35%
41.825 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 16:32:44.384266,+0.81%
165.050 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,2022-10-26 16:32:44.388272,+0.03%
28.440 ,28.540 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 16:32:44.391274,+1.10%
13.018 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 16:32:44.394266,-0.18%
65.420 ,65.640 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,2022-10-26 16:32:44.397266,+0.68%
13.594 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 16:32:44.400267,+0.46%
34.610 ,34.675 ,STMICROELECTRONICS,33.920 ,34.195 ,2022-10-26 16:32:44.403275,-1.62%
132.220 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 16:32:44.406271,+0.70%
23.310 ,23.470 ,SOCIETE GENERALE,23.125 ,23.375 ,2022-10-26 16:32:44.411268,+0.17%
125.550 ,126.000 ,THALES,122.150 ,122.250 ,2022-10-26 16:32:44.414269,+3.25%
476.100 ,477.100 ,KERING,470.250 ,472.750 ,2022-10-26 16:32:44.417274,+0.78%
274.400 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,2022-10-26 16:32:44.421272,-0.15%
52.980 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,2022-10-26 16:32:44.425265,-0.51%
22.490 ,23.070 ,VEOLIA,22.380 ,22.730 ,2022-10-26 16:32:44.428263,-1.06%
8.200 ,8.296 ,VIVENDI,8.164 ,8.296 ,2022-10-26 16:32:44.431269,-1.44%
78.080 ,78.580 ,LEGRAND,76.100 ,76.260 ,2022-10-26 16:32:44.434270,+2.15%
657.200 ,663.600 ,LVMH,651.100 ,659.400 ,2022-10-26 16:32:44.437271,-0.12%
24.835 ,24.925 ,MICHELIN,23.700 ,23.700 ,2022-10-26 16:32:44.440268,-2.72%
44.950 ,45.140 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 16:32:44.444270,+2.70%
318.200 ,322.900 ,L'OREAL,317.850 ,321.400 ,2022-10-26 16:32:44.448263,-1.07%
9.477 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 16:32:44.451269,+0.77%
57.140 ,58.560 ,PUBLICIS GROUPE,56.820 ,58.560 ,2022-10-26 16:32:44.455268,-2.42%
176.050 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,2022-10-26 16:32:44.458270,-0.84%
